antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
baby,toys,0.128099173553719,0.06887052341597796,0.026170798898071626,0.20430107526881722,2.966451612903226,1.0,0.017348541766272797,1.170203261112352,0.7602893489648292,0.1532258064516129,0.14544760450467648,0.2921505376344086
toys,baby,0.06887052341597796,0.128099173553719,0.026170798898071626,0.38,2.966451612903226,1.0,0.017348541766272797,1.4062916555585177,0.7119277483649954,0.1532258064516129,0.28890995260663505,0.2921505376344086
cool_stuff,toys,0.08953168044077135,0.06887052341597796,0.009641873278236915,0.1076923076923077,1.5636923076923077,1.0,0.003475779583968915,1.0435071720338178,0.39593689215474387,0.06481481481481481,0.041693218024578975,0.12384615384615386
toys,cool_stuff,0.06887052341597796,0.08953168044077135,0.009641873278236915,0.14,1.5636923076923077,1.0,0.003475779583968915,1.058684092510731,0.3871513102282333,0.06481481481481481,0.05543116490166416,0.12384615384615386
bed_bath_table,toys,0.2727272727272727,0.06887052341597796,0.0027548209366391185,0.010101010101010102,0.14666666666666667,1.0,-0.016028049085900324,0.9406307977736549,-0.8888888888888888,0.008130081300813009,-0.0631163708086785,0.025050505050505052
toys,bed_bath_table,0.06887052341597796,0.2727272727272727,0.0027548209366391185,0.04,0.14666666666666667,1.0,-0.016028049085900324,0.7575757575757577,-0.8620408163265306,0.008130081300813009,-0.31999999999999995,0.025050505050505052
health_beauty,toys,0.09641873278236915,0.06887052341597796,0.0013774104683195593,0.014285714285714285,0.2074285714285714,1.0,-0.005262998125507517,0.9446241066794425,-0.8087463556851312,0.008403361344537816,-0.05862214708368555,0.017142857142857144
toys,health_beauty,0.06887052341597796,0.09641873278236915,0.0013774104683195593,0.02,0.20742857142857143,1.0,-0.005262998125507517,0.9220217012424805,-0.8040579710144927,0.008403361344537816,-0.08457317073170731,0.017142857142857144
sports_leisure,toys,0.09228650137741047,0.06887052341597796,0.005509641873278237,0.05970149253731343,0.866865671641791,1.0,-0.0008461777808133931,0.9902488084306266,-0.14471122647631407,0.035398230088495575,-0.009847213635962205,0.06985074626865671
toys,sports_leisure,0.06887052341597796,0.09228650137741047,0.005509641873278237,0.08,0.8668656716417911,1.0,-0.0008461777808133931,0.9866451071984669,-0.1415873015873016,0.035398230088495575,-0.013535660091047041,0.06985074626865671
consoles_games,toys,0.011019283746556474,0.06887052341597796,0.0027548209366391185,0.25,3.63,1.0,0.0019959170973445958,1.241505968778696,0.7325905292479109,0.03571428571428571,0.1945266272189349,0.145
toys,consoles_games,0.06887052341597796,0.011019283746556474,0.0027548209366391185,0.04,3.63,1.0,0.0019959170973445958,1.030188246097337,0.7781065088757397,0.03571428571428571,0.029303621169916434,0.145
consoles_games,pet_shop,0.011019283746556474,0.013774104683195593,0.0013774104683195593,0.125,9.075,1.0,0.0012256297004606548,1.1271153089334907,0.8997214484679666,0.058823529411764705,0.11277932960893855,0.1125
pet_shop,consoles_games,0.013774104683195593,0.011019283746556474,0.0013774104683195593,0.1,9.075000000000001,1.0,0.0012256297004606548,1.0988674625038262,0.9022346368715085,0.058823529411764705,0.08997214484679666,0.1125
consoles_games,computers_accessories,0.011019283746556474,0.07024793388429752,0.0013774104683195593,0.125,1.7794117647058822,1.0,0.0006033285522391458,1.062573789846517,0.4428969359331476,0.017241379310344827,0.058888888888888886,0.07230392156862744
computers_accessories,consoles_games,0.07024793388429752,0.011019283746556474,0.0013774104683195593,0.0196078431372549,1.7794117647058822,1.0,0.0006033285522391458,1.0087603305785124,0.47111111111111115,0.017241379310344827,0.008684253645747993,0.07230392156862744
consoles_games,sports_leisure,0.011019283746556474,0.09228650137741047,0.0013774104683195593,0.125,1.3544776119402984,1.0,0.0003604793236648984,1.0373868555686738,0.2646239554317548,0.013513513513513514,0.03603945371775417,0.06996268656716417
sports_leisure,consoles_games,0.09228650137741047,0.011019283746556474,0.0013774104683195593,0.014925373134328358,1.3544776119402984,1.0,0.0003604793236648984,1.0039652725603139,0.28831562974203334,0.013513513513513514,0.0039496112751008184,0.06996268656716417
consoles_games,housewares,0.011019283746556474,0.14049586776859505,0.0013774104683195593,0.125,0.8897058823529411,1.0,-0.0001707533638412677,0.9822904368358915,-0.1113861386138614,0.009174311926605503,-0.01802884615384616,0.06740196078431372
cool_stuff,consoles_games,0.08953168044077135,0.011019283746556474,0.0013774104683195593,0.015384615384615385,1.3961538461538463,1.0,0.0003908354772366794,1.0044335399449036,0.3116490166414524,0.013888888888888888,0.004413970430683523,0.07019230769230769
consoles_games,cool_stuff,0.011019283746556474,0.08953168044077135,0.0013774104683195593,0.125,1.396153846153846,1.0,0.0003908354772366794,1.0405352223534041,0.28690807799442897,0.013888888888888888,0.03895612708018154,0.07019230769230769
consoles_games,auto,0.011019283746556474,0.048209366391184574,0.0013774104683195593,0.125,2.592857142857143,1.0,0.0008461777808133931,1.0877607241243605,0.6211699164345403,0.023809523809523808,0.08068017366136035,0.07678571428571429
auto,consoles_games,0.048209366391184574,0.011019283746556474,0.0013774104683195593,0.02857142857142857,2.5928571428571425,1.0,0.0008461777808133931,1.0180683843785447,0.6454413892908828,0.023809523809523808,0.017747711898129723,0.07678571428571429
baby,bed_bath_table,0.128099173553719,0.2727272727272727,0.023415977961432508,0.18279569892473121,0.6702508960573479,1.0,-0.011520160280490854,0.8899521531100479,-0.360720014257708,0.062043795620437964,-0.12365591397849456,0.13432714239165855
bed_bath_table,baby,0.2727272727272727,0.128099173553719,0.023415977961432508,0.08585858585858587,0.6702508960573478,1.0,-0.011520160280490854,0.9537920642893019,-0.4035087719298245,0.062043795620437964,-0.04844655081621904,0.13432714239165855
furniture_decor,baby,0.2796143250688705,0.128099173553719,0.01652892561983471,0.05911330049261084,0.461465119974575,1.0,-0.019289438335268534,0.9266799359612305,-0.6183178252143768,0.04225352112676056,-0.07912123829757428,0.0940727792785635
baby,furniture_decor,0.128099173553719,0.2796143250688705,0.01652892561983471,0.12903225806451615,0.461465119974575,1.0,-0.019289438335268534,0.8271094786246301,-0.5723695321736193,0.04225352112676056,-0.20902979090853016,0.0940727792785635
housewares,baby,0.14049586776859505,0.128099173553719,0.006887052341597796,0.049019607843137254,0.38266919671094246,1.0,-0.011110352207271815,0.9168441680156769,-0.6524064171122994,0.026315789473684213,-0.09069789053061983,0.051391524351676154
baby,housewares,0.128099173553719,0.14049586776859505,0.006887052341597796,0.05376344086021506,0.38266919671094246,1.0,-0.011110352207271815,0.9083395942900075,-0.6491519787163285,0.026315789473684213,-0.10090984284532671,0.051391524351676154
"baby, furniture_decor",bed_bath_table,0.01652892561983471,0.2727272727272727,0.0013774104683195593,0.08333333333333333,0.3055555555555556,1.0,-0.003130478337089907,0.7933884297520661,-0.6979695431472082,0.004784688995215312,-0.26041666666666663,0.04419191919191919
"bed_bath_table, furniture_decor",baby,0.09641873278236915,0.128099173553719,0.0013774104683195593,0.014285714285714285,0.11152073732718895,1.0,-0.010973749516198802,0.8845370703078212,-0.8981366459627329,0.00617283950617284,-0.13053486797562625,0.01251920122887865
"baby, bed_bath_table",furniture_decor,0.023415977961432508,0.2796143250688705,0.0013774104683195593,0.058823529411764705,0.2103738046942915,1.0,-0.005170032405193938,0.7654097796143251,-0.7935352358765289,0.004566210045662101,-0.3064897086941851,0.03187481889307447
